"Age","TicketPrice2021Dollars","Sex","Pclass","Fare","Survived"
1,1,"male","1",0.00629675082358203,"1"
1,800,"male","1",5.03740065886562,"1"
1,1600,"male","1",10.0748013177312,"1"
1,2400,"male","1",15.1122019765969,"1"
1,3200,"male","1",20.1496026354625,"1"
1,4000,"male","1",25.1870032943281,"1"
1,4800,"male","1",30.2244039531937,"1"
1,5600,"male","1",35.2618046120594,"1"
1,6400,"male","1",40.299205270925,"1"
1,7200,"male","1",45.3366059297906,"1"
1,8000,"male","1",50.3740065886562,"1"
1,8800,"male","1",55.4114072475218,"1"
1,9600,"male","1",60.4488079063875,"1"
1,10400,"male","1",65.4862085652531,"1"
1,11200,"male","1",70.5236092241187,"1"
1,12000,"male","1",75.5610098829843,"1"
1,12800,"male","1",80.59841054185,"1"
1,13600,"male","1",85.6358112007156,"1"
1,14400,"male","1",90.6732118595812,"1"
1,15200,"male","1",95.7106125184468,"1"
1,16000,"male","1",100.748013177312,"1"
1,16800,"male","1",105.785413836178,"1"
1,17600,"male","1",110.822814495044,"1"
1,18400,"male","1",115.860215153909,"1"
1,19200,"male","1",120.897615812775,"1"
1,20000,"male","1",125.935016471641,"1"
1,20800,"male","1",130.972417130506,"1"
1,21600,"male","1",136.009817789372,"1"
1,22400,"male","1",141.047218448237,"1"
1,23200,"male","1",146.084619107103,"1"
1,24000,"male","1",151.122019765969,"1"
1,24800,"male","1",156.159420424834,"1"
1,25600,"male","1",161.1968210837,"1"
1,26400,"male","1",166.234221742566,"1"
1,27200,"male","1",171.271622401431,"1"
1,28000,"male","1",176.309023060297,"1"
1,28800,"male","1",181.346423719162,"1"
1,29600,"male","1",186.383824378028,"1"
1,30400,"male","1",191.421225036894,"1"
1,31200,"male","1",196.458625695759,"1"
1,32000,"male","1",201.496026354625,"1"
1,32800,"male","1",206.533427013491,"1"
1,33600,"male","1",211.570827672356,"1"
1,34400,"male","1",216.608228331222,"1"
1,35200,"male","1",221.645628990087,"1"
1,36000,"male","1",226.683029648953,"1"
1,36800,"male","1",231.720430307819,"1"
1,37600,"male","1",236.757830966684,"1"
